N	QAccuracy	QLoss	CAccuracy	CLoss	Fidelity
5.400000000000000000e+01	9.901041388511657715e-01	5.002341419458389282e-02	9.881250262260437012e-01	6.121053546667098999e-02	9.983458518981933594e-01
5.500000000000000000e+01	9.911458492279052734e-01	4.981015622615814209e-02	9.903125166893005371e-01	5.384318530559539795e-02	9.983186721801757812e-01
5.600000000000000000e+01	9.916666746139526367e-01	4.591508954763412476e-02	9.900000095367431641e-01	5.372674763202667236e-02	9.984837770462036133e-01
5.700000000000000000e+01	9.926041960716247559e-01	4.386246204376220703e-02	9.898958206176757812e-01	5.174420028924942017e-02	9.988926053047180176e-01
5.800000000000000000e+01	9.921875000000000000e-01	4.283843189477920532e-02	9.909374713897705078e-01	4.909563437104225159e-02	9.987828731536865234e-01
5.900000000000000000e+01	9.918749928474426270e-01	4.372252151370048523e-02	9.915624856948852539e-01	4.676438495516777039e-02	9.986799955368041992e-01
6.000000000000000000e+01	9.929166436195373535e-01	3.987307101488113403e-02	9.928125143051147461e-01	4.292218387126922607e-02	9.990312457084655762e-01
6.100000000000000000e+01	9.925000071525573730e-01	3.877437487244606018e-02	9.922916889190673828e-01	4.319978877902030945e-02	9.988419413566589355e-01
6.200000000000000000e+01	9.929166436195373535e-01	3.963239863514900208e-02	9.911458492279052734e-01	4.333179071545600891e-02	9.987353682518005371e-01
6.300000000000000000e+01	9.913541674613952637e-01	4.184867069125175476e-02	9.930208325386047363e-01	3.897213190793991089e-02	9.985315203666687012e-01
6.400000000000000000e+01	9.931250214576721191e-01	3.598617017269134521e-02	9.937499761581420898e-01	3.724354133009910583e-02	9.989838600158691406e-01
6.500000000000000000e+01	9.944791793823242188e-01	3.295938670635223389e-02	9.938541650772094727e-01	3.502338379621505737e-02	9.992229938507080078e-01
6.600000000000000000e+01	9.938541650772094727e-01	3.285914286971092224e-02	9.944791793823242188e-01	3.448817133903503418e-02	9.990841746330261230e-01
6.700000000000000000e+01	9.942708611488342285e-01	3.171607851982116699e-02	9.947916865348815918e-01	3.063640557229518890e-02	9.991269111633300781e-01
6.800000000000000000e+01	9.933333396911621094e-01	3.447527065873146057e-02	9.922916889190673828e-01	3.905874118208885193e-02	9.984773993492126465e-01
6.900000000000000000e+01	9.945833086967468262e-01	3.067159652709960938e-02	9.943749904632568359e-01	3.442526236176490784e-02	9.991976022720336914e-01
7.000000000000000000e+01	9.938541650772094727e-01	2.898489311337471008e-02	9.953125119209289551e-01	2.909690886735916138e-02	9.993507862091064453e-01
7.100000000000000000e+01	9.952083230018615723e-01	2.753528021275997162e-02	9.958333373069763184e-01	2.734315209090709686e-02	9.995262622833251953e-01
7.200000000000000000e+01	9.935416579246520996e-01	3.097357414662837982e-02	9.964583516120910645e-01	2.579459920525550842e-02	9.990208148956298828e-01
7.300000000000000000e+01	9.953125119209289551e-01	2.635857090353965759e-02	9.944791793823242188e-01	2.722178213298320770e-02	9.993360638618469238e-01
7.400000000000000000e+01	9.962499737739562988e-01	2.534553222358226776e-02	9.952083230018615723e-01	2.949159592390060425e-02	9.993458986282348633e-01
7.500000000000000000e+01	9.959375262260437012e-01	2.464434690773487091e-02	9.965624809265136719e-01	2.335621230304241180e-02	9.996135234832763672e-01
7.600000000000000000e+01	9.923958182334899902e-01	3.756076097488403320e-02	9.941666722297668457e-01	2.726683020591735840e-02	9.983327984809875488e-01
7.700000000000000000e+01	9.959375262260437012e-01	2.316418848931789398e-02	9.975000023841857910e-01	2.074295654892921448e-02	9.993728399276733398e-01
7.800000000000000000e+01	9.963541626930236816e-01	2.214185148477554321e-02	9.971874952316284180e-01	2.005403116345405579e-02	9.994667768478393555e-01
7.900000000000000000e+01	9.959375262260437012e-01	2.207181416451931000e-02	9.981250166893005371e-01	1.954717375338077545e-02	9.994224905967712402e-01
8.000000000000000000e+01	9.958333373069763184e-01	2.121600881218910217e-02	9.944791793823242188e-01	2.505881898105144501e-02	9.994586110115051270e-01
8.100000000000000000e+01	9.967708587646484375e-01	2.096886374056339264e-02	9.970833063125610352e-01	1.907985098659992218e-02	9.996092915534973145e-01
8.200000000000000000e+01	9.967708587646484375e-01	2.023960649967193604e-02	9.978125095367431641e-01	1.826173812150955200e-02	9.996843338012695312e-01
8.300000000000000000e+01	9.954166412353515625e-01	2.591543644666671753e-02	9.956250190734863281e-01	2.283755689859390259e-02	9.989904761314392090e-01
8.400000000000000000e+01	9.948958158493041992e-01	2.513845637440681458e-02	9.970833063125610352e-01	1.942466571927070618e-02	9.989479780197143555e-01
8.500000000000000000e+01	9.970833063125610352e-01	1.825364679098129272e-02	9.984375238418579102e-01	1.549099013209342957e-02	9.997159838676452637e-01
8.600000000000000000e+01	9.978125095367431641e-01	1.819509081542491913e-02	9.979166388511657715e-01	1.676232367753982544e-02	9.996717572212219238e-01
8.700000000000000000e+01	9.970833063125610352e-01	1.699702255427837372e-02	9.985416531562805176e-01	1.438923180103302002e-02	9.996169209480285645e-01
8.800000000000000000e+01	9.973958134651184082e-01	1.834267750382423401e-02	9.984375238418579102e-01	1.426137890666723251e-02	9.996653199195861816e-01
8.900000000000000000e+01	9.971874952316284180e-01	1.657320000231266022e-02	9.986458420753479004e-01	1.345313992351293564e-02	9.995715618133544922e-01
9.000000000000000000e+01	9.978125095367431641e-01	1.635605841875076294e-02	9.984375238418579102e-01	1.290461793541908264e-02	9.996723532676696777e-01
9.100000000000000000e+01	9.981250166893005371e-01	1.593249104917049408e-02	9.964583516120910645e-01	1.842280477285385132e-02	9.997459650039672852e-01
9.200000000000000000e+01	9.975000023841857910e-01	1.572226919233798981e-02	9.942708611488342285e-01	3.000512532889842987e-02	9.996034502983093262e-01
9.300000000000000000e+01	9.972916841506958008e-01	1.534605305641889572e-02	9.985416531562805176e-01	1.277150865644216537e-02	9.994381666183471680e-01
9.400000000000000000e+01	9.959375262260437012e-01	1.856575533747673035e-02	9.988541603088378906e-01	1.152851525694131851e-02	9.991486668586730957e-01
9.500000000000000000e+01	9.980208277702331543e-01	1.490824390202760696e-02	9.993749856948852539e-01	1.081995107233524323e-02	9.996550679206848145e-01
9.600000000000000000e+01	9.975000023841857910e-01	1.476225815713405609e-02	9.991666674613952637e-01	1.132950745522975922e-02	9.997038841247558594e-01
9.700000000000000000e+01	9.980208277702331543e-01	1.366287376731634140e-02	9.992708563804626465e-01	1.039170753210783005e-02	9.997707009315490723e-01
9.800000000000000000e+01	9.983333349227905273e-01	1.331220101565122604e-02	9.987499713897705078e-01	1.097593922168016434e-02	9.997705817222595215e-01
9.900000000000000000e+01	9.979166388511657715e-01	1.325687207281589508e-02	9.983333349227905273e-01	1.254283357411623001e-02	9.996145367622375488e-01
1.000000000000000000e+02	9.980208277702331543e-01	1.282027643173933029e-02	9.981250166893005371e-01	1.329115591943264008e-02	9.997021555900573730e-01
